"code","F115","F116","F117","F118","F119","F120","F121","F122","F123","c2","c3","name"
36,2.16843946059107,2.20413563816004,1.42214547178176,5.02864557404918,4.23082926706514,5.00446193119966,6.03403406730156,5.82811585522678,3.085318906893,"AU"," AUS"," AUSTRALIA"
50,1.13964480874317,1.02337704918033,1.02315846994536,3.496,3.57466666666667,3.64033333333333,1.6454262295082,1.09671584699454,1.02140983606557,"BD"," BGD"," BANGLADESH"
76,3.310559606332,2.94693168160343,1.56302876428912,3.58279799339288,2.63510629247462,2.34707424980073,5.45591410138472,2.78969154684274,1.58577830747533,"BR"," BRA"," BRAZIL"
124,2.19438536151573,1.89293052549559,1.52722998436828,5.18250267309038,3.14704689323241,4.36183365384892,5.92393215184494,5.2351747583689,2.60663500757655,"CA"," CAN"," CANADA"
156,1.62949364458906,1.51717836932865,1.28158492637157,1.12766082443459,1.12896010307252,3.03686881401087,3.5130610166037,3.81402653535111,1.96444116786408,"CN"," CHN"," CHINA"
158,2.10223337613066,1.86832082886311,1.49447478439879,3.31341328301229,2.58413148648187,3.19120062494837,4.37449489647668,5.37789650264085,2.23784933611474,"TW"," TWN"," TAIWAN"
170,4.69306915393364,1.75271938139452,1.50291443795414,3.04430859435617,3.15892178756452,1.92074691583605,4.88466878754368,4.07814311746342,2.66380011886065,"CO"," COL"," COLOMBIA"
196,2.33214285714286,1.76516666666667,1.60271428571429,3.61540476190476,2.45835714285714,3.94745238095238,6.21026190476191,4.62333333333333,2.19121428571429,"CY"," CYP"," CYPRUS"
246,2.15509106073664,2.35599420152879,1.47921720570958,4.43076522626824,3.11975968064903,4.91380916412369,6.23905774587853,5.28049898353635,2.84752933516137,"FI"," FIN"," FINLAND"
250,2.82717282717283,2.81418581418581,2.18081918081918,6.3966033966034,3.30769230769231,6.40559440559441,6.82017982017982,6.68931068931069,3.66433566433566,"FR"," FRA"," FRANCE"
276,2.35736666730475,3.67502410523658,1.71501377131653,6.02898773309424,4.4058905970809,4.93446339295045,6.45732163404084,5.3796834625323,3.54473648344929,"DE"," DEU"," GERMANY"
344,2.38947763578275,1.97406709265176,1.82221405750799,3.8692571884984,3.02402396166134,3.32945367412141,4.59446645367412,5.07864536741214,2.49601277955272,"HK"," HKG"," HONG KONG"
356,2.39680665788601,2.26428454884872,2.2113417063403,2.10434576192139,2.31387053055827,3.08948184167251,3.23746853248613,3.07785779160643,2.53209229205463,"IN"," IND"," INDIA"
360,1.46140074441687,1.52482754342432,1.40760794044665,1.20618362282878,1.24017493796526,1.36184739454094,2.6616253101737,1.57848387096774,1.15329156327543,"ID"," IDN"," INDONESIA"
364,2.17852233814375,1.69042332386177,1.46824249160798,1.31559191949348,1.31024283990568,1.99650014127381,2.88794143623042,2.27801130901291,1.42547828737048,"IR"," IRN"," IRAN (ISLAMIC REPUBLIC OF)"
376,6,6,1.41701417848207,4.6605504587156,3.29441201000834,5.06672226855713,6.34028356964137,6,6,"IL"," ISR"," ISRAEL"
380,2.04446640316206,2.13636363636364,1.28162055335968,2.95256916996047,2.24308300395257,3.33201581027668,4.76679841897233,3.45948616600791,1.9100790513834,"IT"," ITA"," ITALY"
392,1.42689948637207,1.33573255180263,1.48598945045093,3.15336933929942,2.55565962060254,3.72261743650028,5.0241694666139,5.24463856909102,2.37990268771867,"JP"," JPN"," JAPAN"
410,2.60770072329272,1.60902133300939,1.64213991505752,2.4463849761881,2.83085909835051,3.63231322227221,4.36592032506186,4.97661465369317,2.78896554215857,"KR"," KOR"," KOREA"
422,2.86333333333333,3.17833333333333,2.76333333333333,3.0025,6,3.13083333333333,4.0625,3.25166666666667,2.865,"LB"," LBN"," LEBANON"
484,3.72826311708699,2.8348621387567,2.32160820526694,3.17459965295186,3.00307061440724,2.88426049672332,4.41159965697114,3.44780824124501,2.14638151174699,"MX"," MEX"," MEXICO"
643,3.46590403901464,2.74837144509554,1.62883107095972,1.73670342088858,2.04156084707391,4.02187683374578,4.9523350939439,4.43037663302315,1.90981837757906,"RU"," RUS"," RUSSIAN FEDERATION"
702,2.71659985833414,2.28418359681037,2.10860781094047,2.97323977483714,2.82234416755208,3.21672260858366,3.90610209601082,4.78207671957672,2.51858894898956,"SG"," SGP"," SINGAPORE"
724,2.10350827838135,1.97241563570397,1.48548588919688,5.53035098962407,4.41376427023136,4.72876535490644,6.34312504801854,4.81200781972914,2.56789581976525,"ES"," ESP"," SPAIN"
752,2.75641454477961,2.27213366177214,1.84033757698755,7.53720462646934,3.15746992103418,7.41757245093635,7.90497187779732,6.09166074874532,4.1337680937457,"SE"," SWE"," SWEDEN"
756,1.89716214294389,2.30569919418556,1.51835806966215,5.31751769743568,4.22369010039026,4.37600884912942,5.73549707129111,5.65645933639064,3.37066686143692,"CH"," CHE"," SWITZERLAND"
764,2.77362505432421,2.18811657974794,2.24505921338548,2.92257442416341,2.32019991308127,2.17859843546284,3.33792861799218,3.64767709691438,2.0774826162538,"TH"," THA"," THAILAND"
826,4.13352545629203,4.08117195004803,3.78962536023055,4.86672414535605,3.90245936722467,4.79392659426461,6.15809671712311,5.75120076849183,4.65609990393852,"GB"," GBR"," UNITED KINGDOM"
840,2.23380016572705,1.81863153199854,1.41219023803481,4.28876786842916,3.52660150493936,4.14924121082845,5.5492691970753,4.94312412640878,2.50978019328842,"US"," USA"," UNITED STATES"
862,2.30041666666667,1.87041666666667,1.96583333333333,2.15125,2.18625,2.09208333333333,4.7025,2.7925,1.59916666666667,"VE"," VEN"," VENEZUELA"
