"c2","code","country","year","F115","F116","F117","F118","F119","F120","F121","F122","F123","c3","name","continent","sum"
"AU",36,"AU",1981,2.31,2.98,1.62,3.51,3.7,4.08,4.86,4.86,2.85,"AUS","AUSTRALIA","ASIA",30.77
"AU",36,"AU",1995,2.06,2.14,1.26,4.4,4.04,4.7,5.81,6.03,2.95,"AUS","AUSTRALIA","ASIA",33.39
"AU",36,"AU",2005,2.26,1.95,1.41,5.61,4.49,5.56,6.5,6.42,3.15,"AUS","AUSTRALIA","ASIA",37.35
"AU",36,"AU",2012,2.05,1.74,1.39,6.59,4.69,5.68,6.97,6,3.39,"AUS","AUSTRALIA","ASIA",38.5
"BD",50,"BD",1996,1.12,0.99,1.02,6,6,6,1.75,1.11,1.03,"BGD","BANGLADESH","ASIA",25.02
"BD",50,"BD",2002,1.16,1.05,1.03,0.99,1.15,1.28,1.54,1.08,1.01,"BGD","BANGLADESH","ASIA",10.29
"BR",76,"BR",1991,2.86,2.75,1.37,2.38,2.02,2.45,4.81,2.66,1.39,"BRA","BRAZIL","AMERICA",22.69
"BR",76,"BR",2006,3.9,3.58,1.8,4.05,3.02,2.36,5.49,3.34,1.76,"BRA","BRAZIL","AMERICA",29.3
"BR",76,"BR",2014,3.17,2.5,1.52,4.31,2.87,2.24,6.07,2.37,1.6,"BRA","BRAZIL","AMERICA",26.65
"CA",124,"CA",2000,2.2,2,1.54,5.15,3.23,4.36,5.95,5.5,2.68,"CAN","CANADA","AMERICA",32.61
"CA",124,"CA",2006,2.19,1.78,1.51,5.22,3.06,4.37,5.9,4.97,2.53,"CAN","CANADA","AMERICA",31.53
"CH",756,"CH",1989,1.65,2.27,1.51,3.74,3.36,3.03,4.49,4.8,2.69,"CHE","SWITZERLAND","EUROPE",27.54
"CH",756,"CH",1996,2.24,2.58,1.53,5.63,4.73,4.84,6.08,5.82,3.34,"CHE","SWITZERLAND","EUROPE",36.79
"CH",756,"CH",2007,1.8,2.07,1.51,6.58,4.58,5.26,6.63,6.34,4.08,"CHE","SWITZERLAND","EUROPE",38.85
"CN",156,"CN",1990,1.57,1.53,1.33,1.14,1.19,4.62,4.57,6.38,2.54,"CHN","CHINA","ASIA",24.87
"CN",156,"CN",1995,1.57,1.5,1.19,1.17,1.16,3.69,5.13,5.32,2.64,"CHN","CHINA","ASIA",23.37
"CN",156,"CN",2001,1.32,1.52,1.24,0.77,1,3.17,2.85,2.92,1.38,"CHN","CHINA","ASIA",16.17
"CN",156,"CN",2007,1.8,1.57,1.34,1.08,1.13,1.7,2.39,2.06,1.55,"CHN","CHINA","ASIA",14.62
"CN",156,"CN",2012,1.89,1.47,1.3,1.47,1.17,2,2.63,2.4,1.71,"CHN","CHINA","ASIA",16.04
"CO",170,"CO",1997,6,1.54,1.42,2.7,6,1.8,6,6,6,"COL","COLOMBIA","AMERICA",37.46
"CO",170,"CO",1998,3.58,2.29,1.53,2.54,2.29,2.05,4.73,4.12,1.63,"COL","COLOMBIA","AMERICA",24.76
"CO",170,"CO",2005,6,1.55,1.54,3.67,1.92,1.95,4.63,3.19,1.39,"COL","COLOMBIA","AMERICA",25.84
"CO",170,"CO",2012,3.19,1.64,1.52,3.27,2.43,1.88,4.18,3,1.63,"COL","COLOMBIA","AMERICA",22.74
"CY",196,"CY",2006,2.59,1.93,1.69,3.68,2.47,4.08,6.05,3.25,2.17,"CYP","CYPRUS","ASIA",27.91
"CY",196,"CY",2011,2.07,1.6,1.51,3.55,2.45,3.81,6.37,6,2.21,"CYP","CYPRUS","ASIA",29.57
"DE",276,"DE",1997,3.08,2.94,1.89,6.38,5.14,5.44,6.81,6,4.47,"DEU","GERMANY","EUROPE",42.15
"DE",276,"DE",2006,2.17,2.08,1.66,5.87,4.02,4.73,6.23,4.14,3.05,"DEU","GERMANY","EUROPE",33.95
"DE",276,"DE",2013,1.82,6,1.59,5.83,4.05,4.63,6.34,6,3.11,"DEU","GERMANY","EUROPE",39.37
"ES",724,"ES",1990,2.03,2.2,1.29,3.99,3.2,4.41,5.61,3.81,2.05,"ESP","SPAIN","EUROPE",28.59
"ES",724,"ES",1995,1.9,1.84,1.36,5.05,4.07,4.13,5.75,4.5,2.51,"ESP","SPAIN","EUROPE",31.11
"ES",724,"ES",2000,2.18,2.1,1.58,5.83,4.47,4.66,6.24,4.68,2.9,"ESP","SPAIN","EUROPE",34.64
"ES",724,"ES",2007,2.34,2.01,1.8,6.13,4.33,5.23,6.81,5.06,2.76,"ESP","SPAIN","EUROPE",36.47
"ES",724,"ES",2011,2.07,1.7,1.39,6.65,6,5.22,7.31,6,2.62,"ESP","SPAIN","EUROPE",38.96
"FI",246,"FI",1981,1.89,2.39,1.44,3.36,2.93,4.57,5.77,4.59,2.49,"FIN","FINLAND","EUROPE",29.43
"FI",246,"FI",1996,2.29,2.54,1.41,4.24,3.34,4.8,6.29,5.62,2.88,"FIN","FINLAND","EUROPE",33.41
"FI",246,"FI",2005,2.28,2.14,1.59,5.69,3.09,5.37,6.66,5.63,3.17,"FIN","FINLAND","EUROPE",35.62
"FR",250,"FR",2006,2.83,2.81,2.18,6.4,3.31,6.41,6.82,6.69,3.66,"FRA","FRANCE","EUROPE",41.11
"GB",826,"GB-GBN",1998,6,6,6,4.91,4.33,5.06,6.3,6,6,"GBR","UNITED KINGDOM","EUROPE",50.6
"GB",826,"GB-GBN",2005,2.27,2.16,1.58,4.82,3.48,4.53,6.01,5.5,3.31,"GBR","UNITED KINGDOM","EUROPE",33.66
"HK",344,"HK",2005,2.03,1.92,1.73,3.55,3.1,3.43,4.67,5.19,2.23,"HKG","HONG KONG","ASIA",27.85
"HK",344,"HK",2013,2.75,2.03,1.91,4.18,2.95,3.23,4.52,4.96,2.76,"HKG","HONG KONG","ASIA",29.29
"ID",360,"ID",2001,1.36,1.54,1.44,1.13,1.13,1.28,2.49,1.49,1.05,"IDN","INDONESIA","ASIA",12.91
"ID",360,"ID",2006,1.56,1.51,1.37,1.28,1.35,1.44,2.83,1.67,1.26,"IDN","INDONESIA","ASIA",14.27
"IL",376,"IL",2001,6,6,1.42,4.66,3.29,5.07,6.34,6,6,"ISR","ISRAEL","ASIA",44.78
"IN",356,"IN",1990,1.44,1.45,1.39,1.08,1.48,3.33,2.66,3.11,1.56,"IND","INDIA","ASIA",17.5
"IN",356,"IN",1995,1.5,1.53,1.47,1.47,1.73,2.4,2.88,2.49,1.71,"IND","INDIA","ASIA",17.18
"IN",356,"IN",2001,1.95,1.95,1.76,1.85,2.14,2.76,3.41,2.9,2.44,"IND","INDIA","ASIA",21.16
"IN",356,"IN",2006,2.77,2.38,2.41,2.02,2.24,2.53,3.1,2.88,2.61,"IND","INDIA","ASIA",22.94
"IN",356,"IN",2014,4.33,4.01,4.03,4.1,3.98,4.43,4.14,4.01,4.34,"IND","INDIA","ASIA",37.37
"IR",364,"IR",2000,1.71,1.38,1.2,1.15,1.12,1.71,2.68,1.86,1.14,"IRN","IRAN","ASIA",13.95
"IR",364,"IR",2007,2.64,2,1.74,1.48,1.5,2.29,3.1,2.7,1.71,"IRN","IRAN","ASIA",19.16
"IT",380,"IT",2005,2.04,2.14,1.28,2.95,2.24,3.33,4.77,3.46,1.91,"ITA","ITALY","EUROPE",24.12
"JP",392,"JP",1981,1.27,1.16,1.47,1.9,1.63,2.79,3.66,3.8,2.22,"JPN","JAPAN","ASIA",19.9
"JP",392,"JP",1990,1.44,1.4,1.7,2.12,1.73,3.34,4.41,4.74,2.43,"JPN","JAPAN","ASIA",23.31
"JP",392,"JP",1995,1.51,1.46,1.53,3.11,2.05,3.96,5.28,5.36,2.33,"JPN","JAPAN","ASIA",26.59
"JP",392,"JP",2000,1.53,1.37,1.44,3.72,2.02,4.15,5.68,5.74,2.68,"JPN","JAPAN","ASIA",28.33
"JP",392,"JP",2005,1.52,1.39,1.48,4.03,1.9,4.17,5.89,5.83,2.61,"JPN","JAPAN","ASIA",28.82
"JP",392,"JP",2010,1.29,1.22,1.31,4.03,6,3.93,5.22,6,2.01,"JPN","JAPAN","ASIA",31.01
"KR",410,"KR",1982,1.94,1.36,1.91,1.84,1.82,3.8,3.75,4.24,2.89,"KOR","KOREA","ASIA",23.55
"KR",410,"KR",1990,2.75,1.53,1.8,1.54,2.16,4.21,4.25,6,2.84,"KOR","KOREA","ASIA",27.08
"KR",410,"KR",1996,2.63,1.78,1.5,2.13,2.28,3.35,4.12,4.25,2.82,"KOR","KOREA","ASIA",24.86
"KR",410,"KR",2001,2.74,1.59,1.42,2.77,2.2,3.37,4.57,4.56,2.77,"KOR","KOREA","ASIA",25.99
"KR",410,"KR",2005,2.78,1.66,1.59,2.92,2.54,3.58,4.76,4.81,2.93,"KOR","KOREA","ASIA",27.57
"KR",410,"KR",2010,2.8,1.74,1.64,3.48,6,3.49,4.75,6,2.48,"KOR","KOREA","ASIA",32.38
"LB",422,"LB",2013,2.86,3.18,2.76,3,6,3.13,4.06,3.25,2.87,"LBN","LEBANON","ASIA",31.11
"MX",484,"MX",1981,3.47,3.35,2.25,2.26,2.45,2.69,3.69,3.68,2.15,"MEX","MEXICO","AMERICA",25.99
"MX",484,"MX",1990,4.13,3.69,2.66,2.82,3.09,3.73,4.72,3.85,3.02,"MEX","MEXICO","AMERICA",31.71
"MX",484,"MX",1996,3.21,2.76,2.3,2.77,2.73,2.59,4.22,3.23,1.75,"MEX","MEXICO","AMERICA",25.56
"MX",484,"MX",1995,3.34,3.28,2.69,2.83,2.88,2.81,4.02,3.26,1.78,"MEX","MEXICO","AMERICA",26.89
"MX",484,"MX",2000,3.58,2.15,1.95,3.36,2.96,2.56,4.46,3.12,1.65,"MEX","MEXICO","AMERICA",25.79
"MX",484,"MX",2005,4.05,2.48,2.31,4.11,3.58,2.94,4.92,3.94,2.38,"MEX","MEXICO","AMERICA",30.71
"MX",484,"MX",2012,4.31,2.15,2.09,4.08,3.33,2.86,4.84,3.06,2.28,"MEX","MEXICO","AMERICA",29
"RU",643,"RU",1990,2.62,2.51,1.38,1.26,1.67,4.2,4.42,3.06,2,"RUS","RUSSIA","EUROPE",23.12
"RU",643,"RU",1995,3.81,2.9,1.44,1.41,1.94,4.52,4.95,4.4,1.88,"RUS","RUSSIA","EUROPE",27.25
"RU",643,"RU",2006,3.69,2.78,1.73,2.15,2.11,3.58,4.94,4.26,1.92,"RUS","RUSSIA","EUROPE",27.16
"RU",643,"RU",2011,3.74,2.81,1.97,2.12,2.45,3.79,5.5,6,1.83,"RUS","RUSSIA","EUROPE",30.21
"SE",752,"SE",1996,2.87,2.55,1.78,6.48,3.65,6.94,7.35,6.38,4.13,"SWE","SWEDEN","EUROPE",42.13
"SE",752,"SE",2006,2.71,2.26,1.96,8.14,2.94,7.7,8.27,6.45,4.08,"SWE","SWEDEN","EUROPE",44.51
"SE",752,"SE",2011,2.69,2,1.78,7.99,2.88,7.61,8.09,5.44,4.2,"SWE","SWEDEN","EUROPE",42.68
"SG",702,"SG",2002,2.45,2.03,1.74,2.37,2.13,2.66,3.42,3.56,1.94,"SGP","SINGAPORE","ASIA",22.3
"SG",702,"SG",2012,2.98,2.53,2.48,3.58,3.52,3.77,4.4,6,3.1,"SGP","SINGAPORE","ASIA",32.36
"TH",764,"TH",2007,3.41,2.75,2.81,3.07,2.75,2.45,3.28,3.35,2.41,"THA","THAILAND","ASIA",26.28
"TH",764,"TH",2013,2.14,1.63,1.68,2.77,1.89,1.91,3.4,3.94,1.74,"THA","THAILAND","ASIA",21.1
"TW",158,"TW",1994,2,1.91,1.51,1.99,1.91,2.85,3.79,4.82,2.19,"TWN","TAIWAN","ASIA",22.97
"TW",158,"TW",2006,2.01,1.89,1.46,3.75,2.76,3.45,4.58,6.12,2.28,"TWN","TAIWAN","ASIA",28.3
"TW",158,"TW",2012,2.3,1.81,1.51,4.2,3.09,3.27,4.75,5.2,2.25,"TWN","TAIWAN","ASIA",28.38
"US",840,"US",1995,1.82,1.65,1.19,3.32,2.32,3.68,5.08,4.3,2.15,"USA","UNITED STATES","AMERICA",25.51
"US",840,"US",1999,2.63,2.22,1.56,4.66,2.99,4.32,5.89,5,2.61,"USA","UNITED STATES","AMERICA",31.88
"US",840,"US",2006,2.12,1.67,1.31,4.01,2.8,3.98,5.27,4.47,2.38,"USA","UNITED STATES","AMERICA",28.01
"US",840,"US",2011,2.36,1.74,1.59,5.16,6,4.61,5.96,6,2.9,"USA","UNITED STATES","AMERICA",36.32
"VE",862,"VE",1996,1.77,1.94,2.32,1.9,2.17,2.2,4.67,2.53,1.66,"VEN","VENEZUELA","AMERICA",21.16
"VE",862,"VE",2000,2.83,1.8,1.61,2.4,2.2,1.98,4.74,3.06,1.54,"VEN","VENEZUELA","AMERICA",22.16
